   iter,         time,  residual(rho),   residual(v1),   residual(v2),    residual(E) 
     64,   6.18853417, 0.11083308E-03, 0.50102593E-02, 0.15523844E-02, 0.44494694E-02
     65,   6.28375641, 0.10940819E-03, 0.48884307E-02, 0.14761842E-02, 0.43070733E-02
     66,   6.37897854, 0.10711599E-03, 0.47687494E-02, 0.13985748E-02, 0.41365338E-02
     67,   6.47420059, 0.10393491E-03, 0.46510700E-02, 0.13213283E-02, 0.39315702E-02
     68,   6.56942257, 0.10018495E-03, 0.45347235E-02, 0.12471457E-02, 0.37131343E-02
     69,   6.66464448, 0.96395995E-04, 0.44198817E-02, 0.11792541E-02, 0.35144958E-02
     70,   6.75986635, 0.92675350E-04, 0.43064857E-02, 0.11193559E-02, 0.33579003E-02
     71,   6.85508817, 0.89187213E-04, 0.41947052E-02, 0.10696364E-02, 0.32445689E-02
     72,   6.95030996, 0.85747898E-04, 0.40847489E-02, 0.10302735E-02, 0.31593890E-02
     73,   7.04553172, 0.82194835E-04, 0.39769616E-02, 0.10002649E-02, 0.30756718E-02
     74,   7.14075345, 0.78435473E-04, 0.38723513E-02, 0.97819401E-03, 0.29830065E-02
     75,   7.23597516, 0.74691181E-04, 0.37707431E-02, 0.96268630E-03, 0.28987309E-02
     76,   7.33119684, 0.71046913E-04, 0.36722314E-02, 0.95035847E-03, 0.28260402E-02
     77,   7.42641851, 0.67221498E-04, 0.35767881E-02, 0.93899694E-03, 0.27657787E-02
     78,   7.52164015, 0.63695709E-04, 0.34841322E-02, 0.92784011E-03, 0.27194230E-02
     79,   7.61686177, 0.60324996E-04, 0.33939472E-02, 0.91628318E-03, 0.26763438E-02
     80,   7.71208338, 0.57086330E-04, 0.33055429E-02, 0.90472603E-03, 0.26315938E-02
     81,   7.80730497, 0.53995304E-04, 0.32186156E-02, 0.89332328E-03, 0.25815799E-02
     82,   7.90252655, 0.51143472E-04, 0.31329353E-02, 0.88200741E-03, 0.25288317E-02
     83,   7.99774812, 0.48693107E-04, 0.30481481E-02, 0.87101399E-03, 0.24823821E-02
     84,   8.09296967, 0.46657530E-04, 0.29641571E-02, 0.86004705E-03, 0.24415266E-02
     85,   8.18819121, 0.45056756E-04, 0.28818159E-02, 0.84916396E-03, 0.24062731E-02
     86,   8.28341272, 0.43684842E-04, 0.28014200E-02, 0.83813145E-03, 0.23683008E-02
     87,   8.37863422, 0.42363151E-04, 0.27233493E-02, 0.82689695E-03, 0.23186165E-02
     88,   8.47385568, 0.41116381E-04, 0.26474460E-02, 0.81550940E-03, 0.22615958E-02
     89,   8.56907711, 0.39820024E-04, 0.25737462E-02, 0.80399904E-03, 0.21965826E-02
     90,   8.66429850, 0.38396668E-04, 0.25022430E-02, 0.79255224E-03, 0.21204997E-02
     91,   8.75951985, 0.37007338E-04, 0.24328338E-02, 0.78181929E-03, 0.20466418E-02
     92,   8.85474116, 0.35580999E-04, 0.23652234E-02, 0.77206724E-03, 0.19726768E-02
     93,   8.94996243, 0.34102102E-04, 0.22994692E-02, 0.76379742E-03, 0.18988908E-02
     94,   9.04518367, 0.32604690E-04, 0.22350521E-02, 0.75733568E-03, 0.18255560E-02
     95,   9.14040487, 0.31101312E-04, 0.21721455E-02, 0.75276445E-03, 0.17539378E-02
     96,   9.23562603, 0.29672368E-04, 0.21103272E-02, 0.74998069E-03, 0.16857469E-02
     97,   9.33084716, 0.28355103E-04, 0.20494341E-02, 0.74864658E-03, 0.16234785E-02
     98,   9.42606826, 0.27215178E-04, 0.19895379E-02, 0.74832322E-03, 0.15714358E-02
     99,   9.52128933, 0.26249148E-04, 0.19309971E-02, 0.74837012E-03, 0.15262565E-02
    100,   9.61651038, 0.25367106E-04, 0.18736951E-02, 0.74822091E-03, 0.14844957E-02
    101,   9.71173140, 0.24645481E-04, 0.18177526E-02, 0.74744435E-03, 0.14476182E-02
    102,   9.80695240, 0.23977915E-04, 0.17632792E-02, 0.74566561E-03, 0.14122758E-02
    103,   9.90217337, 0.23315330E-04, 0.17102384E-02, 0.74265420E-03, 0.13754395E-02
    104,   9.99739431, 0.22775440E-04, 0.16587251E-02, 0.73845236E-03, 0.13444730E-02
    105,  10.09261523, 0.22239717E-04, 0.16087217E-02, 0.73304441E-03, 0.13127045E-02
    106,  10.18783612, 0.21764199E-04, 0.15598675E-02, 0.72667683E-03, 0.12861150E-02
    107,  10.28305699, 0.21314597E-04, 0.15122324E-02, 0.71960865E-03, 0.12603013E-02
    108,  10.37827783, 0.20802251E-04, 0.14658113E-02, 0.71209147E-03, 0.12298488E-02
    109,  10.47349865, 0.20298693E-04, 0.14206196E-02, 0.70442376E-03, 0.12009035E-02
    110,  10.56871944, 0.19716759E-04, 0.13766742E-02, 0.69671697E-03, 0.11670350E-02
    111,  10.66394021, 0.19193282E-04, 0.13338776E-02, 0.68911859E-03, 0.11370586E-02
