x, y, Phi, CP_pressureside
      0.9524540,      0.3043243,      0.3092639,     -0.7274213
      0.9611051,      0.2757715,      0.2794248,     -0.7396159
      0.9690504,      0.2463834,      0.2489769,     -0.7494257
      0.9762317,      0.2161605,      0.2179075,     -0.7629656
      0.9825881,      0.1851062,      0.1862041,     -0.7745449
      0.9880560,      0.1532270,      0.1538537,     -0.7848567
      0.9925694,      0.1205324,      0.1208431,     -0.7983485
      0.9960599,      0.0870358,      0.0871587,     -0.7972342
      0.9984566,      0.0527545,      0.0527870,     -0.8099481
      0.9996863,      0.0177100,      0.0177137,     -0.8288673
